# N=13 left-block {0..6} candidate ranking  (optimistic total = main + vert)
# WM=9 wm0=[3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3] lm0=[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]
# opt_total   main   vert  word
        727    428    299  beschouwelijk
        727    428    299  beschermvrouw
        726    437    289  verhalencycli
        726    437    289  royaltyexpert
        726    437    289  reuzencycloop
        726    437    289  quiztafeltjes
        726    437    289  proxyoorlogen
        726    437    289  privacywetjes
        726    437    289  natuurquizzen
        726    437    289  maquilleurtje
        726    437    289  machtsexcesje
        726    437    289  gesuffoqueerd
        726    437    289  ferryvluchten
        726    437    289  ecchymosetjes
        726    437    289  cultuurexpert
        726    437    289  archetypische
        726    428    298  zwavelwalmpje
        726    428    298  zwavelluchten
        726    428    298  zenuwkwetsuur
        726    428    298  zachtschildje
        726    428    298  xeroxafdrukje
        726    428    298  wolfsvachtjes
        726    428    298  wolfsklauwtje
        726    428    298  weifelzuchtig
        726    428    298  vrouwtjeswolf
        726    428    298  vrouwtjespauw
        726    428    298  vrouwkrachtje
        726    428    298  vrouwencultus
        726    428    298  vrouwenclubje
        726    428    298  vinylgroepjes
        726    428    298  vacuumachtige
        726    428    298  tochtschutjes
        726    428    298  schuwtafeltje
        726    428    298  schuurachtige
        726    428    298  schutvlechten
        726    428    298  schuttouwtjes
        726    428    298  schutdekschip
        726    428    298  schurkachtigs
        726    428    298  schuldbewuste
        726    428    298  schuifhoutjes
        726    428    298  schubachtigst
        726    428    298  polytheistjes
        726    428    298  polyseksueels
        726    428    298  polypathietje
        726    428    298  polylinguaals
        726    428    298  polyhistortje
        726    428    298  polyhalidetje
        726    428    298  polyglottetje
        726    428    298  polygamistjes
        726    428    298  pizzaschuifje
        726    428    298  papyrusrollen
        726    428    298  nachtluchtjes
        726    428    298  meeuwenvlucht
        726    428    298  lucullischten
        726    428    298  lucullischere
        726    428    298  luchtweggetje
        726    428    298  luchtvrachten
        726    428    298  luchtejecteur
        726    428    298  luchtcelletje
        726    428    298  lichtvrouwtje
        726    428    298  ladykillertje
        726    428    298  juryrapporten
        726    428    298  jachtschapjes
        726    428    298  jachtpachtjes
        726    428    298  hyperglykemie
